neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
254-2-17-RS,142830,9490.61,2971.91,1.48447,54.7244,1.01462,560.364,6.0,41.0,88.0,190.048,384.711,97.2,0.891776,339.252,345.095,10.0,0.949813,749.0,0.441995,51.0017,3169.24
254-2-18-RS,142263,8168.6,2516.64,1.47112,60.9551,1.01264,284.16,5.0,46.0,97.0,178.759,340.23,112.66,0.874628,342.298,352.009,10.0,0.955784,713.0,0.46298,59.1211,2902.49
254-2-19-RS,142142,9591.47,3317.77,1.37821,75.222,1.01881,584.263,7.0,32.0,71.0,201.032,198.171,110.93,1.02248,154.701,187.27,9.0,0.931427,662.0,0.3935,63.5801,2864.05
254-2-2-CD,142435,17430.1,7916.86,1.33386,70.6021,1.01654,986.113,5.0,26.0,57.0,312.8,438.06,103.74,1.54007,396.627,411.922,7.0,0.944023,423.0,0.463578,68.4703,3593.86
254-2-20-RS,142662,8287.33,2876.01,1.29999,63.2811,1.01954,775.802,4.0,22.0,48.0,223.781,238.453,123.79,1.06831,232.587,245.63,5.0,0.942957,526.0,0.327056,66.9654,2460.06
254-2-3-CD,142185,22725.2,12678.4,1.45972,63.0545,1.01146,1638.14,7.0,46.0,99.0,296.424,389.089,91.71,1.56069,304.753,346.358,6.0,0.957398,519.0,0.453278,54.2435,4651.35
254-2-4-CD,142318,22918.5,9634.26,1.54431,62.9165,1.0145,950.783,6.0,47.0,100.0,237.291,328.951,134.74,1.45899,275.612,341.198,7.0,0.95401,545.0,0.406475,60.1027,5068.8
254-2-5-CD,142631,5424.47,1830.85,1.5035,60.4674,1.01301,371.139,5.0,25.0,55.0,129.461,253.812,57.87,1.18962,184.97,189.071,5.0,0.963007,208.0,0.420476,55.8507,1454.67
254-2-7-CD,142194,20283.0,8023.65,1.46773,62.1763,1.01123,739.646,6.0,48.0,102.0,240.02,487.79,130.99,1.34344,392.263,403.81,9.0,0.961213,582.0,0.417882,55.0331,4835.29
254-2-8-CD,142774,19676.0,7630.48,1.45857,63.3733,1.01374,691.661,6.0,41.0,88.0,265.3,474.138,113.99,1.33046,446.52,466.735,12.0,0.951742,548.0,0.483972,57.2699,4782.57
254-2-9-CD,142172,13150.8,4892.5,1.43423,71.4342,1.01902,558.823,7.0,42.0,91.0,159.761,470.219,139.5,1.27182,440.094,470.002,12.0,0.945219,357.0,0.38852,68.8532,3278.12
260-1-10-CD,142573,16968.0,7165.96,1.44001,62.6,1.01106,876.321,8.0,57.0,122.0,190.447,323.396,132.56,1.24818,234.923,248.383,8.0,0.958337,577.0,0.417427,52.9826,4287.54
260-1-11-CD,142260,12995.1,7115.65,1.26779,72.8733,1.01303,1136.68,10.0,35.0,80.0,220.985,222.977,117.52,1.64997,166.859,202.455,8.0,0.957185,295.0,0.474578,60.3586,2494.92
260-1-12-CD,142634,24160.1,13058.1,1.40496,66.3015,1.01193,1209.62,8.0,58.0,124.0,215.8,398.057,107.88,1.54233,278.207,322.632,9.0,0.959427,575.0,0.387957,54.6176,4848.93
260-1-13-CD,142567,20341.2,10364.5,1.26997,69.033,1.01072,1290.27,8.0,52.0,112.0,216.43,367.16,107.86,1.38,264.268,296.099,9.0,0.962315,567.0,0.391994,55.9235,4665.77
254-1-12-CD,142445,14003.4,5088.79,1.53692,63.6572,1.01449,587.514,8.0,55.0,118.0,170.51,291.914,118.8,1.18432,306.932,324.817,13.0,0.951526,523.0,0.480078,59.7153,3761.49
254-1-13-CD,142682,20343.7,8065.32,1.54896,60.8528,1.00962,1238.44,8.0,55.0,118.0,198.83,889.66,119.86,1.22919,634.437,642.13,14.0,0.960944,651.0,0.450887,55.1371,5421.75
254-1-14-CD,142407,21398.6,8099.02,1.57465,65.4444,1.00905,714.951,8.0,82.0,172.0,196.23,770.65,113.55,1.23591,516.56,538.982,14.0,0.967605,707.0,0.36757,59.6144,5561.01
254-1-15-CD,142183,13458.7,4775.91,1.54518,64.2047,1.01164,663.521,8.0,49.0,106.0,184.867,277.227,120.15,1.12816,300.619,317.997,11.0,0.959096,533.0,0.417776,60.7277,3755.27
254-1-16-RS,142598,14370.7,4596.99,1.47291,61.7787,1.01162,737.378,6.0,51.0,108.0,232.058,727.721,119.08,0.894751,530.087,555.427,11.0,0.953755,1086.0,0.404695,56.7781,5017.69
254-1-17-RS,142582,14496.9,5073.69,1.40163,54.0689,1.01103,1002.05,7.0,43.0,93.0,230.679,499.61,105.19,0.98459,399.958,431.3,12.0,0.95972,926.0,0.394924,48.8699,4475.85
254-1-18-RS,142547,7869.74,2797.19,1.37792,66.7787,1.01314,778.225,6.0,33.0,72.0,161.14,352.32,97.25,0.947985,313.317,340.489,9.0,0.953882,531.0,0.466253,61.5736,2534.34
254-1-19-RS,142342,14207.5,5630.63,1.4026,66.7673,1.01604,852.598,7.0,47.0,101.0,258.17,316.061,91.08,0.995696,322.932,340.09,12.0,0.949133,955.0,0.540002,59.5233,4361.8
