neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
68172,2013_03_06_cell03_789_H41_03,segev,,year,not reported,adult,human,not applicable,,not reported,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",100.0,reported,corrected,375.0,32.0,43.0,not reported,not reported,10.7554/elife.16553,neocortex,temporal,"brodmann area 21, layer 2-3",principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
68173,2013_03_06_cell08_876_H41_05_Cell2,segev,,year,not reported,adult,human,not applicable,,not reported,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",100.0,reported,corrected,375.0,32.0,43.0,not reported,not reported,10.7554/elife.16553,neocortex,temporal,"brodmann area 21, layer 2-3",principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
68174,2013_03_06_cell11_1125_H41_06,segev,,year,not reported,adult,human,not applicable,,not reported,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",100.0,reported,corrected,375.0,32.0,43.0,not reported,not reported,10.7554/elife.16553,neocortex,temporal,"brodmann area 21, layer 2-3",principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
68175,2013_03_13_cell03_1204_H42_02,segev,,year,not reported,adult,human,not applicable,,not reported,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",100.0,reported,corrected,375.0,32.0,43.0,not reported,not reported,10.7554/elife.16553,neocortex,temporal,"brodmann area 21, layer 2-3",principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
68176,2013_03_13_cell05_675_H42_04,segev,,year,not reported,adult,human,not applicable,,not reported,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",100.0,reported,corrected,375.0,32.0,43.0,not reported,not reported,10.7554/elife.16553,neocortex,temporal,"brodmann area 21, layer 2-3",principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
68177,2013_03_13_cell06_945_H42_05,segev,,year,not reported,adult,human,not applicable,,not reported,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",100.0,reported,corrected,375.0,32.0,43.0,not reported,not reported,10.7554/elife.16553,neocortex,temporal,"brodmann area 21, layer 2-3",principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
