neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
1052,04a_pyramidal5aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1053,04b_pyramidal5aFI,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/04b_pyramidal5afi.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1054,04b_pyramidal6aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/04b_pyramidal6aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1055,04b_pyramidal6aFI,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/04b_pyramidal6afi.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1056,04b_pyramidal7aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/04b_pyramidal7aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1084,04b_spindle3aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1057,05a_pyramidal10aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/05a_pyramidal10aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1058,05a_pyramidal8aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/05a_pyramidal8aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1059,05b_pyramidal7aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1060,05b_pyramidal8aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1061,05b_pyramidal9aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1085,05b_spindle5aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1062,06a_pyramidal11aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1063,06b_pyramidal10aFI,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/06b_pyramidal10afi.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1064,06b_pyramidal12aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/06b_pyramidal12aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
