neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
11o_pyramidal12aFI,1070,19352.7,12313.6,1.43,77.97,1.07,4750.22,7.0,11.0,29.0,210.12,369.34,109.31,1.91,316.22,476.05,5.0,0.7,1355.0,0.48,68.85,2941.25
12a_spindle19aACC,1092,6583.49,4533.61,1.90909,89.9085,1.02695,1482.35,3.0,63.0,129.0,90.3502,431.223,90.51,2.05005,380.255,435.874,39.0,0.967376,391.0,0.89275,88.005,944.902
12o_spindle9aFI,1093,6677.08,9446.32,0.79,85.77,1.1,2699.79,2.0,2.0,6.0,23.57,305.31,49.08,3.41,182.75,251.95,2.0,0.72,142.0,0.5,46.2,518.28
13o_spindle10aFI,1094,11006.7,10054.7,1.12,62.1,1.09,3325.46,3.0,3.0,9.0,49.11,516.92,123.55,2.69,298.0,434.05,3.0,0.65,427.0,0.66,32.66,1185.83
15o_spindle12aFI,1095,25731.8,35580.0,1.17,77.14,1.06,3998.32,3.0,6.0,15.0,164.24,604.57,183.07,3.6,484.27,681.72,4.0,0.7,645.0,0.66,52.69,1961.26
17o_pyramidal13aFI,1071,16603.5,11924.8,1.91051,87.1206,1.03461,1249.3,6.0,200.0,406.0,201.024,340.767,126.26,1.88629,248.99,308.907,31.0,0.956069,1140.0,0.872053,87.6085,2478.09
18o_pyramidal14aFI,1072,16760.8,13928.3,1.17,88.01,1.08,4724.6,6.0,15.0,36.0,222.3,288.41,208.93,1.74,258.21,350.31,3.0,0.73,1102.0,0.28,68.0,2544.13
19o_spindle14aFI,1097,5444.22,4529.29,1.52,98.33,1.1,1358.52,2.0,3.0,8.0,39.53,232.21,61.19,2.18,188.33,321.45,3.0,0.65,303.0,0.66,49.64,700.06
20o_pyramidal15aFI,1073,12205.4,8537.71,1.51,105.5,1.15,2188.73,6.0,11.0,28.0,141.25,383.18,51.41,1.82,274.23,447.2,3.0,0.63,963.0,0.36,50.32,1847.1
21o_spindle15aFI,1098,8298.08,7628.66,1.27,111.34,1.1,1860.43,2.0,1.0,4.0,54.44,286.33,265.99,2.36,279.04,612.45,1.0,0.57,200.0,0.0,49.73,920.27
