neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
5-S3-1,1746,24217.4,15530.4,1.44866,62.6443,1.00804,184867.0,5.0,27.0,59.0,474.494,445.582,109.98,1.55839,352.203,461.194,7.0,0.872183,1502.0,0.431687,61.0617,4604.99
6-S12-1,1747,30820.7,26349.7,1.3373,71.6163,1.00521,228213.0,6.0,37.0,80.0,263.857,290.036,91.18,2.25636,199.749,252.65,6.0,0.912836,935.0,0.42973,52.4552,3901.3
6-S18-1,1748,24073.0,15759.7,1.27731,73.2838,1.00909,210277.0,6.0,31.0,68.0,314.268,311.764,113.08,1.824,230.906,326.374,6.0,0.900294,1121.0,0.405914,62.9285,3749.28
6-S18-2,1749,29140.4,24363.0,1.41186,77.7918,1.01349,212001.0,5.0,31.0,67.0,258.184,341.394,80.33,2.34124,238.251,315.907,7.0,0.909616,948.0,0.34904,58.7982,3611.98
6-S18-3,1750,20034.5,16556.5,1.3042,74.3506,1.00676,134910.0,4.0,19.0,42.0,238.895,330.443,83.0,2.12649,285.557,335.672,4.0,0.884268,789.0,0.315789,65.1941,2665.01
6-S19-1,1751,20528.5,16874.4,1.36906,79.6165,1.01078,443736.0,4.0,18.0,40.0,308.731,369.461,63.86,2.05964,261.915,320.285,5.0,0.892823,788.0,0.495238,62.386,2803.97
6-S3-1,1752,16203.2,14860.3,1.36987,83.4697,1.04167,130220.0,5.0,23.0,51.0,236.989,236.877,110.98,1.87013,177.706,254.898,4.0,0.881867,713.0,0.347826,53.9569,2273.9
6-S6-1,1753,22652.3,17594.0,1.33349,73.2741,1.01727,210425.0,5.0,29.0,63.0,232.418,305.9,126.66,2.05576,227.251,327.093,5.0,0.867187,651.0,0.420525,66.1708,3192.01
6-S6-2,1754,20637.1,20247.5,1.2739,71.1488,1.0091,293341.0,6.0,19.0,44.0,197.751,274.343,134.27,2.42716,194.301,267.849,3.0,0.88438,556.0,0.403509,67.3621,2303.48
6-S7-1,1755,18421.0,15847.0,1.29296,81.9431,1.01522,138302.0,6.0,19.0,44.0,207.39,319.244,97.52,1.9594,196.279,234.829,5.0,0.885423,665.0,0.475439,63.3566,2599.4
6-S8-1,1756,18081.2,17663.7,1.32372,75.7759,1.00578,215973.0,5.0,25.0,55.0,163.831,338.425,99.49,2.14295,237.713,280.422,5.0,0.896592,731.0,0.45,56.3089,2301.76
7-S11-1,1757,23788.5,22512.7,1.303,81.5466,1.00847,197452.0,5.0,25.0,55.0,205.446,433.143,99.99,2.20265,292.018,353.93,7.0,0.892066,754.0,0.428,57.8834,3054.62
7-S11-2,1758,25164.2,20149.6,1.26828,69.8663,1.00821,141709.0,4.0,26.0,56.0,230.581,657.994,75.98,1.6757,506.302,591.377,6.0,0.869886,1185.0,0.510623,47.5171,4218.9
7-S12-4,1759,24516.8,22094.6,1.28363,74.399,1.00387,163215.0,6.0,31.0,68.0,242.426,422.988,85.93,1.96773,284.652,386.99,6.0,0.899114,942.0,0.404839,56.9041,3442.45
C-S3-A1,1799,26619.6,18928.1,1.44677,63.6038,1.00688,140580.0,5.0,31.0,67.0,374.619,357.162,98.47,1.86164,307.518,397.601,8.0,0.857288,1319.0,0.476793,56.1273,4169.01
C-S3-A2,1800,24691.5,14671.6,1.5216,71.8556,1.00766,114558.0,7.0,29.0,65.0,260.119,375.85,119.47,1.62244,258.117,323.735,4.0,0.851826,1453.0,0.363218,51.4232,4333.3
C-S3-A4,1801,30336.4,20604.9,1.44749,77.9594,1.00656,191567.0,7.0,35.0,77.0,345.825,342.2,123.0,1.75503,289.505,398.576,8.0,0.876059,1532.0,0.467619,58.1808,5001.21
C-S4-B1,1802,31477.7,22318.0,1.55084,67.8407,1.00979,251664.0,6.0,25.0,56.0,368.125,413.189,117.98,1.93377,408.742,521.847,6.0,0.848213,1525.0,0.361143,49.2042,4763.88
C-S5-C1,1803,25355.5,16941.5,1.46285,73.7844,1.00674,211387.0,4.0,23.0,50.0,301.338,419.762,106.48,1.71225,321.998,391.505,5.0,0.866593,1461.0,0.467633,57.9324,4256.27
C-S5-C2,1804,22065.0,16028.8,1.54685,62.4193,1.00833,136347.0,5.0,20.0,45.0,292.848,382.053,96.97,1.93764,281.281,325.394,5.0,0.886243,1100.0,0.407778,53.165,3274.82
