neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
Pink2_7-10-14_sec4_Neuron2,99888,5165.67,2246.93,1.54777,56.487,1.02576,921.131,5.0,13.0,31.0,125.994,120.317,41.56,1.61116,130.819,156.694,4.0,0.902374,190.0,0.328205,45.2919,993.735
Pink2_sec3_Neuron2,99906,9773.22,4516.91,1.51668,61.6923,1.02522,1489.19,6.0,22.0,50.0,206.79,280.271,98.45,1.59201,230.224,288.891,7.0,0.923702,388.0,0.465801,48.5464,1832.32
Pink8_9-24-1_-sec4_Neuron10,99917,13132.1,6155.81,1.63099,60.1072,1.02755,1105.3,4.0,33.0,70.0,127.361,225.049,66.81,1.75644,140.04,193.514,9.0,0.925824,466.0,0.589394,55.8423,2323.74
Pink8_December2013_sec4_Neuron3,99929,17398.4,8084.21,1.53799,55.521,1.01634,1107.37,6.0,37.0,80.0,232.39,291.689,65.87,1.6636,209.765,222.932,10.0,0.94834,553.0,0.408479,55.6197,3204.69
Purple16-9-18-12_sec1_1,99900,13582.0,6039.07,1.63617,75.9201,1.03326,844.779,5.0,34.0,73.0,140.39,278.689,91.15,1.62254,189.46,230.163,9.0,0.91051,570.0,0.519281,68.0055,2606.52
Purple4-9-18-12_sec2_1,99901,11681.3,5110.11,1.54427,61.5098,1.02294,912.807,5.0,26.0,57.0,167.24,382.12,77.55,1.62992,289.804,345.079,12.0,0.935821,375.0,0.658974,55.7611,2252.12
Purple5-9-18-12_sec4_1,99902,17660.7,8811.71,1.58332,67.546,1.02535,1205.8,4.0,21.0,46.0,181.62,537.269,95.43,1.79962,494.896,550.842,5.0,0.906534,528.0,0.378571,51.275,3010.78
Red13_December2013_sec2_Neuron7,99892,8815.07,4009.75,1.463,55.3132,1.01998,964.971,4.0,24.0,52.0,149.809,178.769,66.46,1.64598,178.11,199.57,5.0,0.938002,336.0,0.405952,55.9759,1661.6
Red1_October-2013_sec3_Neuron1,99893,20159.4,8294.71,1.6735,67.8804,1.01926,1339.83,5.0,49.0,103.0,236.29,470.591,83.6,1.52295,361.392,406.072,13.0,0.935077,882.0,0.519311,59.1679,4126.64
Red3_October-2013_sec4_Neuron3,99895,11104.0,6114.55,1.55441,61.621,1.01863,1271.99,4.0,21.0,46.0,218.54,285.85,86.64,1.79831,178.764,226.224,5.0,0.944617,350.0,0.492063,59.6979,1868.02
Red3_October-2013_sec4_Neuron4,99896,9468.62,4435.53,1.54659,53.4755,1.01734,1078.38,4.0,24.0,52.0,216.771,252.269,90.9,1.63567,172.321,196.2,5.0,0.934771,328.0,0.353373,43.6134,1761.79
Red5_October-2013_sec2_Neuron5,99897,7430.34,3683.68,1.42268,60.398,1.01653,894.966,4.0,25.0,54.0,145.049,219.689,61.32,1.61159,142.163,165.468,6.0,0.943065,295.0,0.465016,53.7596,1398.35
Red5_October-2013_sec2_Neuron6,99898,12749.0,6382.78,1.48546,65.4037,1.02147,1357.43,7.0,27.0,61.0,187.849,348.361,75.88,1.70533,252.386,299.719,6.0,0.92618,407.0,0.375838,66.3862,2238.74
Red8_December2013_sec4_Neuron1,99899,9519.23,4189.68,1.52252,60.4416,1.01594,1347.7,3.0,17.0,37.0,129.466,275.997,72.52,1.51803,201.155,217.932,6.0,0.942455,421.0,0.47549,52.6892,1919.42
Red9_December2013_sec3_Neuron3,99918,10466.9,4871.01,1.47063,57.5639,1.01383,1054.33,6.0,30.0,66.0,197.129,258.352,79.69,1.60917,213.669,234.659,9.0,0.961954,313.0,0.455291,58.7977,1962.55
Yellow3_8-31-2012_sec1_1,99930,24610.8,14153.0,1.49395,69.2173,1.02917,1639.41,5.0,30.0,65.0,292.231,389.438,105.71,2.03323,281.485,409.445,10.0,0.882844,767.0,0.518254,60.7662,3722.34
Yellow3_8-31-2012_sec1_Neuron6,99933,14219.1,8061.48,1.49054,63.2412,1.02479,1185.25,6.0,29.0,64.0,384.4,390.33,62.7,1.87937,368.032,385.553,11.0,0.924448,363.0,0.615927,51.1496,2514.5
Yellow5-coded-11-6_sec4_Neuron1,99908,6704.34,2710.74,1.59187,52.6716,1.01537,1054.96,5.0,16.0,37.0,121.466,200.971,90.74,1.46431,198.246,218.953,4.0,0.940871,239.0,0.41875,43.6172,1398.11
Yellow5_8-31-2012_sec1_Neuron1,99934,17080.9,10341.8,1.39067,52.2167,1.02992,1240.82,6.0,19.0,44.0,229.103,302.788,88.89,1.93497,217.113,261.9,5.0,0.898455,483.0,0.408521,54.2115,2669.68
Yellow6-coded-11-6_sec1_Neuron2,99909,7586.42,3154.2,1.59551,50.5068,1.02376,683.123,4.0,18.0,40.0,170.099,161.46,88.42,1.54943,207.825,246.322,5.0,0.922312,265.0,0.46746,49.505,1535.35
Yellow6-coded-11-6_sec4_Neuron3,99910,13084.6,5837.93,1.58517,57.9188,1.02518,1045.18,5.0,35.0,75.0,130.45,290.59,82.85,1.63642,186.098,209.076,7.0,0.940334,424.0,0.458565,53.338,2480.15
Yellow6_8-31-12_sec2_Neuron5,99935,13608.4,7128.91,1.43594,66.4353,1.03229,771.687,5.0,24.0,53.0,242.45,395.122,89.68,1.82146,378.698,411.133,9.0,0.875871,425.0,0.561111,52.2457,2287.81
Yellow7_8-31-12_sec3_Neuron7,99936,11533.5,5698.33,1.56677,64.5683,1.02566,969.512,7.0,34.0,75.0,192.641,242.729,86.79,1.75579,174.382,186.703,7.0,0.919997,366.0,0.513235,56.801,2013.74
Yellow8_8-31-2012_sec3_1,99931,17114.0,7608.58,1.58354,64.9122,1.03635,1132.31,5.0,35.0,75.0,172.038,376.309,92.83,1.64772,242.763,271.34,8.0,0.883978,751.0,0.495646,59.8502,3233.05
Yellow9_8-31-2012_sec1_Neuron8,99937,17878.4,8878.73,1.63723,61.9673,1.01962,1201.79,5.0,28.0,61.0,242.419,333.47,75.59,1.84504,247.484,278.987,7.0,0.935983,508.0,0.462121,51.1584,3004.79
Pink3_7-10-14_sec1_Neuron6,99878,6245.39,2926.42,1.53471,58.1934,1.02188,817.61,5.0,17.0,39.0,141.642,147.977,69.35,1.6104,159.193,188.519,4.0,0.928827,227.0,0.401961,48.4776,1175.28
Pink3_9-24-1_-sec3_1,99911,9763.22,4355.05,1.48055,61.5539,1.02083,1348.68,4.0,29.0,62.0,190.65,324.34,91.01,1.59895,216.321,250.94,10.0,0.945454,352.0,0.592365,50.7619,1857.81
Pink3_December2013_sec6_Neuron2,99927,12360.4,5396.58,1.47748,62.271,1.02386,1086.38,6.0,20.0,46.0,213.164,280.23,88.15,1.61157,184.806,227.885,6.0,0.914079,466.0,0.397222,63.1117,2392.4
Pink4_sec2_Neuron1,99912,10370.2,4104.02,1.63369,66.205,1.02756,1166.77,3.0,24.0,51.0,210.649,472.051,59.38,1.4661,372.119,483.698,6.0,0.914315,492.0,0.483333,51.7772,2194.56
Pink5_7-10-14_sec3_Neuron3,99889,5742.15,2593.72,1.55754,67.6085,1.02842,868.913,4.0,14.0,32.0,112.771,288.02,78.4,1.63258,196.571,238.384,4.0,0.921727,229.0,0.357143,64.6594,1083.5
Pink5_7-10-14_sec3_Neuron4,99879,7816.32,3724.44,1.62554,72.2781,1.01874,780.315,5.0,23.0,51.0,105.758,153.37,56.55,1.79447,108.83,139.003,5.0,0.940606,255.0,0.471014,61.6607,1368.0
Pink5_7-10-14_sec4_Neuron5,99880,9063.38,4551.09,1.55457,64.2966,1.02051,893.524,5.0,19.0,43.0,111.012,178.801,71.17,1.8091,119.654,138.352,5.0,0.931568,289.0,0.465664,55.2798,1543.09
