neuron_id,neuron_name,archive,age_scale,gender,age_classification,domain,attributes,min_age,max_age,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,brain_region,cell_class,neuron_volume,neuron_area,soma_radius,soma_area,soma_volume,soma_va_ratio,neurite_length,avg_stem_length,max_euc_distance,max_path_distance,avg_euc_distance,avg_path_distance,max_contraction,avg_contraction,number_stems,neuron_va_ratio,neurite_volume,neurite_area,neurite_va_ratio,neurite_fraction_V,neurite_fraction_A,neurite_radius_V,neurite_radius_A,neurite_irregularity,soma_neurite_va_ratio,soma_fraction_V,soma_fraction_A,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo,hemisphere,lobe,gyrus,brodmann_area,layer
52856,A-2-87-3-1C,jacobs,year,male,adult,"dendrites, soma, no axon","diameter, 3d, angles",65.0,65.0,neocortex,temporal,"brodmann area 22, layer 2-3",principal cell,pyramidal,not reported,"neocortex, temporal, brodmann area 22, layer 2-3","principal cell, pyramidal",3356.542008,2237.882293,7.70701,746.4173212113666,1917.5485862497385,2.5690033333333333,2143.231150003242,357.20519166720703,203.62615292627703,242.6872683216168,104.07899416803026,130.26764665531132,0.9454161904658456,0.798962726665537,6,1.499874242045312,1438.9934217502614,1491.4649717886336,0.9648187848652952,0.4287130678896784,0.6664626537570238,0.4622958146165006,0.1107552130847931,0.6134542728975789,2.662679638531301,0.5712869321103216,0.3335373462429762,2.0,59.6228,1.0262,6.0,18.0,42.0,194.08,225.279,69.63,0.180257,203.629,242.691,4.0,0.88725,311.0,0.311111,50.678,2189.46,"left, right",temporal lobe,superior temporal gyrus,BA22,"2, 3"
52857,A-2-87-3-6C,jacobs,year,male,adult,"dendrites, soma, no axon","no diameter, 3d, angles",65.0,65.0,neocortex,temporal,"brodmann area 22, layer 2-3",principal cell,pyramidal,not reported,"neocortex, temporal, brodmann area 22, layer 2-3","principal cell, pyramidal",4699.1735960000005,2180.042785,8.67469,945.6224875485124,2734.327312170735,2.891563333333333,1560.7766347614474,390.19415869036186,239.3936951968452,312.2211967258403,127.21573529007976,165.7112625147722,0.913110194043068,0.7676951666380505,4,2.1555419133666223,1964.8462838292653,1234.4202974514878,1.5917157939526536,0.4181259201621683,0.5662367298224781,0.6330222512444706,0.125875854248933,0.6682667848614702,1.816632934295897,0.5818740798378317,0.4337632701775219,2.0,77.59,1.03354,4.0,7.0,18.0,150.803,401.85,78.01,0.15,239.394,312.221,4.0,0.858663,234.0,0.571429,77.1861,1595.48,"left, right",temporal lobe,superior temporal gyrus,BA22,"2, 3"
5275,95-3-3,jacobs,year,male,not reported,"dendrites, soma, no axon","diameter, 3d, angles",43.0,43.0,neocortex,insula,"middle short insular gyrus, left",principal cell,pyramidal,not reported,"neocortex, insula, middle short insular gyrus, left","principal cell, pyramidal",7947.711595999999,8335.821018,10.533,1394.1645398464484,4894.911699400881,3.511,3981.422182942461,995.3555457356148,287.31727180553867,375.6262225382254,185.49338082429333,248.010096739116,0.9260058881327156,0.7479267306581288,4,0.9534407683224082,3052.7998965991183,6941.656478153553,0.4397797422282049,0.3841105530471891,0.8327501829950582,0.4940320414527799,0.2774885181675248,0.2806710988905137,7.983541902614779,0.6158894469528108,0.1672498170049418,1.89,80.55,1.01172,4.0,21.0,46.0,373.49,238.57,198.76,0.59,287.31,375.62,5.0,0.9,206.0,0.45,61.96,4023.55,left,limbic lobe,insula,"BA13, BA16","1, 2, 3, 4, 5, 6"
5257,95-1-5,jacobs,year,male,not reported,"dendrites, soma, no axon","diameter, 3d, angles",43.0,43.0,neocortex,insula,"posterior short insular gyrus, left",principal cell,pyramidal,not reported,"neocortex, insula, posterior short insular gyrus, left","principal cell, pyramidal",7477.20468,10095.389408,9.3244,1092.5759975899546,3395.8718773092583,3.1081333333333334,4783.949518920044,797.3249198200074,311.0598165055146,455.2673390715136,171.3003615149629,236.54175517631745,0.9478621163830832,0.7241865664997548,6,0.7406553999863301,4081.3328026907416,9002.813410410045,0.4533397080041063,0.5458367100217915,0.8917747544513585,0.5211140402268709,0.2995103209877141,0.2700428231391606,6.856080061941498,0.4541632899782086,0.1082252455486415,1.65,76.4,1.02,6.0,27.0,60.0,377.47,237.42,179.3,0.57,311.05,455.26,5.0,0.92,254.0,0.32,63.42,4839.88,left,limbic lobe,insula,"BA13, BA16","1, 2, 3, 4, 5, 6"
5262,95-2-1,jacobs,year,male,not reported,"dendrites, soma, no axon","diameter, 3d, angles",43.0,43.0,neocortex,insula,"anterior long insular gyrus, left",principal cell,pyramidal,not reported,"neocortex, insula, anterior long insular gyrus, left","principal cell, pyramidal",6579.805383,5716.840374,10.289,1330.3202394269952,4562.554981154784,3.429666666666667,2528.849746834512,632.2124367086278,224.6478040795809,363.56930725111886,139.0857229346371,198.0661110205859,0.9978977968057192,0.7022186795003073,4,1.1509513914232652,2017.2504018452164,4386.520134573006,0.4598748757462572,0.3065820771929078,0.767297991128588,0.5038989528605659,0.2760687396565621,0.2921021157539812,7.4578256990039105,0.6934179228070921,0.2327020088714121,1.65,76.05,1.01947,4.0,16.0,36.0,207.56,341.96,165.5,0.56,224.64,363.56,4.0,0.9,147.0,0.49,85.48,2570.01,left,limbic lobe,insula,"BA13, BA16","1, 2, 3, 4, 5, 6"
5243,94-3-2,jacobs,year,male,not reported,"dendrites, soma, no axon","diameter, 3d, angles",39.0,39.0,neocortex,insula,"middle short insular gyrus, left",principal cell,pyramidal,not reported,"neocortex, insula, middle short insular gyrus, left","principal cell, pyramidal",6560.712006000001,10979.48437,9.3209,1091.755934464899,3392.0492965179583,3.106966666666666,6317.326606223792,1052.8877677039652,314.92514138724744,528.1538189205118,170.552156755986,265.51982220851767,0.8929086253017092,0.6423330481972387,6,0.5975428157561101,3168.6627094820424,9887.7284355351,0.3204641723466348,0.4829754311093353,0.9005640066806798,0.3995732488578954,0.2491055084781153,0.2319603327195729,9.695207560694085,0.5170245688906647,0.09943599331932,1.76,56.07,1.04,6.0,31.0,68.0,328.84,449.21,269.29,0.5,315.67,528.15,5.0,0.84,514.0,0.4,66.87,6373.25,left,limbic lobe,insula,"BA13, BA16","1, 2, 3, 4, 5, 6"
3555,1-9-4,jacobs,year,male,not reported,"dendrites, soma, no axon","diameter, 3d, angles",23.0,23.0,neocortex,frontal,brodmann area 6,principal cell,pyramidal,not reported,"neocortex, frontal, brodmann area 6","principal cell, pyramidal",12712.985783,14054.771386000002,10.235,1316.392981140583,4491.094053991289,3.411666666666666,3354.351442157356,559.0585736928927,258.40311500530413,291.4492507936453,149.85721437712098,187.41206144043937,0.9558387014228638,0.7996134999280526,6,0.9045316664249295,8221.891729008712,12738.37840485942,0.6454425726489831,0.6467317646184386,0.906338356919,0.8832968040708894,0.6044017524903472,0.1874674478579843,5.285778799289188,0.3532682353815615,0.0936616430809999,1.11,72.01,1.03,6.0,20.0,46.0,262.24,367.72,114.65,1.2,258.4,291.45,4.0,0.87,422.0,0.41,57.31,3415.76,"left, right",frontal lobe,"precentral gyrus, inferior frontal gyrus, medial frontal gyrus, cingulate gyrus, middle frontal gyrus, superior frontal gyrus",BA06,"1, 2, 3, 4, 5, 6"
3557,1-9-6,jacobs,year,male,not reported,"dendrites, soma, no axon","diameter, 3d, angles",23.0,23.0,neocortex,frontal,brodmann area 6,principal cell,pyramidal,not reported,"neocortex, frontal, brodmann area 6","principal cell, pyramidal",10358.542329,15647.714675,10.035,1265.4489146699714,4232.926619571054,3.345,4840.794538384277,806.7990897307127,320.1766059536518,399.9122740426448,129.3023448965938,171.7213922860874,0.949634456527118,0.7529775013772103,6,0.6619843564472458,6125.615709428946,14382.265760330029,0.4259145124633256,0.5913588529034186,0.9191288350437684,0.6346607090902556,0.4728580546989809,0.146094729661904,7.85368871479351,0.4086411470965814,0.0808711649562316,1.15,69.82,1.04,6.0,38.0,82.0,217.43,427.63,98.08,0.98,320.17,399.91,5.0,0.84,613.0,0.46,57.67,4901.0,"left, right",frontal lobe,"precentral gyrus, inferior frontal gyrus, medial frontal gyrus, cingulate gyrus, middle frontal gyrus, superior frontal gyrus",BA06,"1, 2, 3, 4, 5, 6"
3562,10-1A-10,jacobs,year,female,not reported,"dendrites, soma, no axon","diameter, 3d, angles",34.0,34.0,neocortex,frontal,precentral gyrus,principal cell,pyramidal,not reported,"neocortex, frontal, precentral gyrus","principal cell, pyramidal",6994.480956,9822.845219,9.3271,1093.2088280760415,3398.822686782682,3.109033333333333,2565.1384993611264,427.5230832268544,191.4506615292828,302.9973548207878,127.32533401564342,161.64120961523804,0.9655289479903948,0.7877034224052253,6,0.7120626254469338,3595.6582692173183,8729.636390923957,0.411890954926331,0.5140707783517365,0.8887075176587854,0.6679729242745276,0.5416334374757841,0.1044467777235638,7.548195210767377,0.4859292216482634,0.1112924823412145,1.07,54.67,1.03,6.0,14.0,34.0,250.01,318.61,119.87,1.02,191.45,302.99,4.0,0.91,238.0,0.39,55.64,2621.1,"left, right",frontal lobe,precentral gyrus,BA04,"1, 2, 3, 4, 5, 6"
4726,121-2-10,jacobs,year,male,not reported,"dendrites, soma, no axon","diameter, 3d, angles",51.0,51.0,neocortex,insula,"anterior long insular gyrus, left",principal cell,pyramidal,not reported,"neocortex, insula, anterior long insular gyrus, left","principal cell, pyramidal",6558.189257,8083.534767,9.7965,1206.01233471695,3938.2332790182,3.2655,4066.99717867582,677.8328631126367,276.1579437568291,337.5913140959662,172.25641180643402,211.3114074554907,0.9700099338315707,0.8151780061505529,6,0.8113021649604294,2619.9559779818,6877.52243228305,0.3809447375531255,0.3994938046634356,0.8508063156182192,0.452829931172973,0.2691400173726287,0.2544287531224602,8.572109490145147,0.6005061953365644,0.1491936843817808,1.6,54.86,1.02,6.0,19.0,44.0,286.17,406.11,102.71,0.51,276.15,337.59,5.0,0.9,470.0,0.51,55.6,4125.78,left,limbic lobe,insula,"BA13, BA16","1, 2, 3, 4, 5, 6"
