neuron_id,neuron_name,archive,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_17,2_18,2_19,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_30,2_31,2_32,2_33,2_34,2_35,2_36,2_37,2_38,2_39,2_40,2_41,2_42,2_43,2_44,2_45
68172,2013_03_06_cell03_789_H41_03,segev,9.45E-01,9.29E-01,9.11E-01,8.91E-01,8.70E-01,8.48E-01,8.25E-01,8.02E-01,7.78E-01,7.53E-01,7.29E-01,7.04E-01,6.80E-01,6.57E-01,6.33E-01,6.10E-01,5.88E-01,5.66E-01,5.46E-01,5.25E-01,5.06E-01,4.87E-01,4.69E-01,4.52E-01,4.36E-01,4.20E-01,4.06E-01,3.91E-01,3.78E-01,3.65E-01,3.53E-01,3.41E-01,3.30E-01,3.10E-01,2.92E-01,2.75E-01,2.61E-01,2.47E-01,2.35E-01,2.25E-01,2.15E-01,2.06E-01,1.99E-01,1.91E-01,1.85E-01,8.73E-01,8.38E-01,8.02E-01,7.66E-01,7.29E-01,6.92E-01,6.57E-01,6.22E-01,5.90E-01,5.59E-01,5.30E-01,5.03E-01,4.77E-01,4.53E-01,4.31E-01,4.10E-01,3.90E-01,3.72E-01,3.55E-01,3.39E-01,3.24E-01,3.10E-01,2.97E-01,2.84E-01,2.72E-01,2.61E-01,2.50E-01,2.40E-01,2.31E-01,2.22E-01,2.14E-01,2.06E-01,1.98E-01,1.85E-01,1.73E-01,1.62E-01,1.53E-01,1.44E-01,1.37E-01,1.31E-01,1.25E-01,1.20E-01,1.16E-01,1.12E-01,1.08E-01
68173,2013_03_06_cell08_876_H41_05_Cell2,segev,9.43E-01,9.25E-01,9.06E-01,8.86E-01,8.64E-01,8.41E-01,8.17E-01,7.92E-01,7.67E-01,7.42E-01,7.16E-01,6.91E-01,6.66E-01,6.41E-01,6.17E-01,5.93E-01,5.70E-01,5.47E-01,5.26E-01,5.05E-01,4.85E-01,4.66E-01,4.47E-01,4.30E-01,4.13E-01,3.98E-01,3.82E-01,3.68E-01,3.55E-01,3.42E-01,3.30E-01,3.18E-01,3.08E-01,2.88E-01,2.70E-01,2.55E-01,2.41E-01,2.29E-01,2.18E-01,2.08E-01,2.00E-01,1.92E-01,1.85E-01,1.79E-01,1.73E-01,8.70E-01,8.36E-01,7.99E-01,7.61E-01,7.24E-01,6.87E-01,6.51E-01,6.16E-01,5.83E-01,5.51E-01,5.21E-01,4.94E-01,4.67E-01,4.43E-01,4.20E-01,3.98E-01,3.78E-01,3.59E-01,3.42E-01,3.25E-01,3.09E-01,2.95E-01,2.81E-01,2.68E-01,2.56E-01,2.45E-01,2.34E-01,2.24E-01,2.14E-01,2.06E-01,1.97E-01,1.89E-01,1.82E-01,1.69E-01,1.58E-01,1.48E-01,1.40E-01,1.32E-01,1.26E-01,1.21E-01,1.16E-01,1.12E-01,1.09E-01,1.05E-01,1.02E-01
68174,2013_03_06_cell11_1125_H41_06,segev,9.36E-01,9.17E-01,8.96E-01,8.73E-01,8.48E-01,8.23E-01,7.97E-01,7.70E-01,7.42E-01,7.15E-01,6.87E-01,6.59E-01,6.32E-01,6.06E-01,5.80E-01,5.55E-01,5.31E-01,5.07E-01,4.85E-01,4.63E-01,4.43E-01,4.24E-01,4.05E-01,3.88E-01,3.72E-01,3.57E-01,3.42E-01,3.29E-01,3.16E-01,3.05E-01,2.94E-01,2.84E-01,2.74E-01,2.57E-01,2.42E-01,2.29E-01,2.18E-01,2.08E-01,1.99E-01,1.91E-01,1.84E-01,1.77E-01,1.70E-01,1.64E-01,1.59E-01,8.60E-01,8.23E-01,7.84E-01,7.44E-01,7.03E-01,6.64E-01,6.25E-01,5.88E-01,5.53E-01,5.19E-01,4.87E-01,4.57E-01,4.29E-01,4.03E-01,3.79E-01,3.56E-01,3.35E-01,3.16E-01,2.98E-01,2.81E-01,2.65E-01,2.51E-01,2.38E-01,2.26E-01,2.14E-01,2.04E-01,1.95E-01,1.86E-01,1.78E-01,1.71E-01,1.64E-01,1.59E-01,1.53E-01,1.44E-01,1.36E-01,1.30E-01,1.24E-01,1.19E-01,1.15E-01,1.11E-01,1.07E-01,1.04E-01,9.99E-02,9.63E-02,9.28E-02
68175,2013_03_13_cell03_1204_H42_02,segev,9.32E-01,9.11E-01,8.88E-01,8.64E-01,8.38E-01,8.11E-01,7.82E-01,7.53E-01,7.24E-01,6.94E-01,6.64E-01,6.34E-01,6.05E-01,5.77E-01,5.49E-01,5.22E-01,4.96E-01,4.71E-01,4.48E-01,4.25E-01,4.04E-01,3.83E-01,3.65E-01,3.47E-01,3.30E-01,3.15E-01,3.01E-01,2.87E-01,2.75E-01,2.64E-01,2.53E-01,2.44E-01,2.35E-01,2.19E-01,2.06E-01,1.94E-01,1.84E-01,1.76E-01,1.68E-01,1.61E-01,1.55E-01,1.49E-01,1.43E-01,1.38E-01,1.33E-01,8.61E-01,8.22E-01,7.82E-01,7.41E-01,6.99E-01,6.58E-01,6.17E-01,5.78E-01,5.40E-01,5.03E-01,4.69E-01,4.37E-01,4.07E-01,3.78E-01,3.52E-01,3.28E-01,3.05E-01,2.84E-01,2.65E-01,2.48E-01,2.32E-01,2.17E-01,2.04E-01,1.92E-01,1.81E-01,1.71E-01,1.62E-01,1.54E-01,1.48E-01,1.41E-01,1.36E-01,1.31E-01,1.27E-01,1.20E-01,1.14E-01,1.09E-01,1.05E-01,1.02E-01,9.82E-02,9.47E-02,9.12E-02,8.77E-02,8.41E-02,8.07E-02,7.73E-02
68176,2013_03_13_cell05_675_H42_04,segev,9.45E-01,9.29E-01,9.11E-01,8.91E-01,8.70E-01,8.48E-01,8.25E-01,8.02E-01,7.78E-01,7.54E-01,7.30E-01,7.06E-01,6.82E-01,6.58E-01,6.35E-01,6.13E-01,5.91E-01,5.70E-01,5.49E-01,5.30E-01,5.11E-01,4.92E-01,4.75E-01,4.58E-01,4.42E-01,4.27E-01,4.12E-01,3.99E-01,3.85E-01,3.73E-01,3.61E-01,3.49E-01,3.38E-01,3.18E-01,3.00E-01,2.83E-01,2.68E-01,2.54E-01,2.42E-01,2.31E-01,2.20E-01,2.11E-01,2.02E-01,1.95E-01,1.87E-01,8.70E-01,8.35E-01,7.99E-01,7.61E-01,7.24E-01,6.87E-01,6.51E-01,6.17E-01,5.84E-01,5.53E-01,5.24E-01,4.97E-01,4.72E-01,4.48E-01,4.26E-01,4.06E-01,3.87E-01,3.70E-01,3.53E-01,3.38E-01,3.23E-01,3.10E-01,2.97E-01,2.85E-01,2.74E-01,2.64E-01,2.54E-01,2.44E-01,2.35E-01,2.27E-01,2.19E-01,2.11E-01,2.04E-01,1.91E-01,1.79E-01,1.68E-01,1.58E-01,1.50E-01,1.42E-01,1.35E-01,1.29E-01,1.23E-01,1.18E-01,1.13E-01,1.09E-01
68177,2013_03_13_cell06_945_H42_05,segev,9.41E-01,9.24E-01,9.04E-01,8.83E-01,8.61E-01,8.37E-01,8.13E-01,7.88E-01,7.62E-01,7.36E-01,7.10E-01,6.84E-01,6.59E-01,6.33E-01,6.09E-01,5.84E-01,5.61E-01,5.38E-01,5.16E-01,4.95E-01,4.74E-01,4.55E-01,4.37E-01,4.19E-01,4.02E-01,3.86E-01,3.71E-01,3.57E-01,3.43E-01,3.30E-01,3.18E-01,3.07E-01,2.96E-01,2.77E-01,2.60E-01,2.45E-01,2.32E-01,2.20E-01,2.10E-01,2.01E-01,1.93E-01,1.86E-01,1.79E-01,1.73E-01,1.68E-01,8.70E-01,8.35E-01,7.98E-01,7.60E-01,7.23E-01,6.85E-01,6.49E-01,6.13E-01,5.80E-01,5.48E-01,5.18E-01,4.89E-01,4.62E-01,4.37E-01,4.14E-01,3.92E-01,3.71E-01,3.52E-01,3.34E-01,3.17E-01,3.01E-01,2.86E-01,2.72E-01,2.59E-01,2.47E-01,2.35E-01,2.25E-01,2.15E-01,2.05E-01,1.96E-01,1.88E-01,1.81E-01,1.74E-01,1.61E-01,1.50E-01,1.41E-01,1.33E-01,1.27E-01,1.21E-01,1.16E-01,1.12E-01,1.08E-01,1.05E-01,1.02E-01,9.95E-02
