neuron_name,neuron_volume,neuron_area,soma_radius,soma_area,soma_volume,soma_va_ratio,neurite_length,avg_stem_length,max_euc_distance,max_path_distance,avg_euc_distance,avg_path_distance,max_contraction,avg_contraction,number_stems,neuron_va_ratio,neurite_volume,neurite_area,neurite_va_ratio,neurite_fraction_V,neurite_fraction_A,neurite_radius_V,neurite_radius_A,neurite_irregularity,soma_neurite_va_ratio,soma_fraction_V,soma_fraction_A
Pyramid-IIIC-2-5M-10,10645.218463,18145.71054,8.2647,858.3492885993599,2364.666455162377,2.7549,4158.374140295489,519.7967675369362,361.93833784223517,409.3957556418351,143.05435024124404,174.04902313563355,0.9311181450140136,0.8219198686898929,8,0.5866520596993938,8280.552007837621,17287.36125140064,0.47899456067459234,0.7778658593638692,0.9526968488388905,0.7961463851207347,0.6616453698849225,0.09226353131300993,5.751422304504115,0.2221341406361307,0.047303151161109606
Pyramid-IIIC-2-5M-1,10403.997812,17257.832197,8.9996,1017.7855439052887,3053.2209269766786,2.9998666666666667,4093.7406086631013,682.2901014438501,307.13762208495393,372.92026619476087,153.4865667429992,196.89058708578574,0.8679562763420225,0.7795525881393441,6,0.6028565866927695,7350.776885023321,16240.04665309471,0.45263274435375794,0.7065338745597307,0.9410247166453377,0.7560169344784222,0.631374566188525,0.08983936273934146,6.627595338798781,0.29346612544026923,0.05897528335466227
Pyramid-IIIC-2-5M-2,12065.4608,15408.209022,9.7483,1194.174067658464,3880.3890212516685,3.249433333333333,2965.549489638764,423.649927091252,260.8577007574143,298.32967927367116,120.35332730320532,153.32201400652957,0.8743940642865703,0.7849709520387581,7,0.7830540709029071,8185.071778748332,14214.034954341536,0.5758443541922121,0.6783886595320364,0.9224975423195902,0.9373110172395779,0.7628380278826515,0.10262217295447935,5.642902130891951,0.3216113404679636,0.07750245768040985
Pyramid-IIIC-2-5M-3,8663.242690000001,12200.146713,8.8172,976.9475497234357,2871.313978473825,2.9390666666666663,2379.4821150602106,339.9260164371729,173.25950594411842,270.7267754461554,103.70457162335299,131.84781180550223,0.8920986763749564,0.7865475369157793,7,0.7100933204982517,5791.928711526176,11223.199163276564,0.5160675336207121,0.6685635989641397,0.9199232949647697,0.8802285387403486,0.7506791552812702,0.07943391519579228,5.695120260804386,0.33143640103586025,0.08007670503523032
Pyramid-IIIC-2-5M-4,6379.12725,10863.437698,8.6065,930.8142218018482,2670.3508666458692,2.868833333333334,3626.620926930376,453.3276158662969,352.74700920064515,416.7221635057642,136.51453062658294,170.44191327086253,0.8961924754719091,0.8009446033948062,8,0.5872107363559899,3708.7763833541303,9932.623476198152,0.3733934334913212,0.5813924441394598,0.9143167892449723,0.5705442152638461,0.43589505381406785,0.13378766666481726,7.6831381487055905,0.4186075558605402,0.08568321075502783
Pyramid-IIIC-2-5M-5,10720.432987,18496.209101,9.59,1155.7052292984458,3694.404382990698,3.1966666666666663,4639.128278488136,579.891034811017,233.70409410192192,309.7950189673965,138.07802987029038,184.44167344897656,0.9195616050023152,0.7486270715738648,8,0.5796016323377529,7026.0286040093015,17340.503871701556,0.4051801871498827,0.6553866446000202,0.9375166433841862,0.6943234441381562,0.5949020465079408,0.07711715161665804,7.889494027713077,0.34461335539997984,0.06248335661581391
Pyramid-IIIC-2-5M-6,8307.436742,14355.295431,8.4083,888.4362309649213,2490.079453607449,2.8027666666666664,3398.0968602339417,566.3494767056569,347.0087313022541,438.6960639346183,137.57065877441414,173.55920793679581,0.9304094480160572,0.7926439651909023,6,0.5787019000709829,5817.357288392551,13466.85920003508,0.43197580088885146,0.7002589931237964,0.9381109058162357,0.7381932261118547,0.6307404696700123,0.07849376253425532,6.488249251230223,0.2997410068762037,0.061889094183764363
Pyramid-IIIC-2-5M-7,12270.127559,17826.205595,9.537,1142.966309849181,3633.489899010546,3.1790000000000003,3604.9500254737986,400.55000283042216,326.7246449229075,415.1402897149919,130.1409033336816,164.48249715198529,0.9816872909801267,0.7912142968830821,9,0.6883196479256135,8636.637659989454,16683.23928515082,0.5176834973335562,0.7038751323864255,0.935882804461216,0.873268488648942,0.7365483516425935,0.08492900160094533,6.140817732019942,0.2961248676135744,0.06411719553878403
Pyramid-IIIC-2-5M-8,9666.616259,15003.552358,8.5431,917.1510000523084,2611.7709028489585,2.8477,3129.101274257032,447.01446775100464,269.148096965221,353.65041454817236,107.88594231301313,145.91813376530564,0.9200606439185514,0.7393593896049727,7,0.6442885010392684,7054.845356151041,14086.401357947692,0.5008266608966544,0.7298153942526375,0.9388710767844738,0.8471474406464146,0.7164742237453084,0.08357086619923519,5.685999213583446,0.2701846057473624,0.061128923215526154
Pyramid-IIIC-2-5M-9,10323.247275,16894.298423,9.2444,1073.9086037768416,3309.2135655848783,3.081466666666667,3837.7393731322936,548.248481876042,288.3044642387627,322.7426626750208,140.29955742257405,170.76777281700913,0.9480557403401416,0.8215809992024423,7,0.611049184554824,7014.033709415122,15820.389819223159,0.44335403802076084,0.6794406374824652,0.9364336667384296,0.7627307386376072,0.6560876069379884,0.0751633442238549,6.9503520942835575,0.3205593625175348,0.06356633326157042
Pyramid-IIIC-DS-2-5M-1,21280.119626,30581.816398000003,11.91,1782.5157955426816,7076.587708304444,3.969999999999999,5914.8612916732045,985.8102152788672,569.8363471208204,641.7315038905745,173.12844390586983,217.46298465378345,0.9696190708927352,0.7961283350428703,6,0.6958422400113449,14203.531917695556,28799.300602457322,0.49319016853081593,0.6674554545427327,0.9417132137494864,0.8742808325511211,0.774921138881666,0.06024713491164078,8.049633292217466,0.33254454545726736,0.05828678625051372
