neuron_name,neuron_volume,neuron_area,soma_radius,soma_area,soma_volume,soma_va_ratio,neurite_length,avg_stem_length,max_euc_distance,max_path_distance,avg_euc_distance,avg_path_distance,max_contraction,avg_contraction,number_stems,neuron_va_ratio,neurite_volume,neurite_area,neurite_va_ratio,neurite_fraction_V,neurite_fraction_A,neurite_radius_V,neurite_radius_A,neurite_irregularity,soma_neurite_va_ratio,soma_fraction_V,soma_fraction_A
1-10-10,7830.8192659999995,8733.45701,10.328,1340.4243930822886,4614.634377251291,3.4426666666666663,1714.6796281089032,428.6699070272258,196.3709657199296,243.34895615559208,104.29021372796751,140.07096398509302,0.9636619754190742,0.7445526950115554,4,0.8966459967723593,3216.1848887487085,7393.0326169177115,0.4350291761717662,0.4107086090867659,0.8465184643895913,0.7726878319185065,0.6862143027381518,0.05927301573296119,7.913645463878886,0.5892913909132341,0.1534815356104087
1-10-1,6557.760541,13018.70584,8.8582,986.0542904368743,2911.5553718493074,2.952733333333333,3636.006733611543,606.0011222685904,233.60599352566086,290.76027137370784,105.52510829227634,144.51372811202882,0.8610277113638268,0.7302081931653718,6,0.5037183128334667,3646.205169150692,12032.651549563127,0.3030259086396528,0.5560137712187152,0.924258655003386,0.5649802616878311,0.5266920863793766,0.03507295515567767,9.744161304849397,0.44398622878128474,0.07574134499661407
1-10-2,4714.391433,5027.453192,8.6329,936.5334304064746,2694.9998171186844,2.8776333333333333,1544.4745502924552,308.894910058491,223.91554367662818,232.0349617627011,88.56730982136439,105.78529841570764,0.9650077814808938,0.8372364699801551,5,0.9377295527090806,2019.3916158813154,4090.9197615935254,0.4936277740863602,0.4283461915669308,0.8137161312815909,0.6451266158349964,0.4215609132093759,0.20958874697439217,5.8295612289228504,0.5716538084330692,0.18628386871840907
1-10-3,7216.664404000001,5130.639595000001,10.066,1273.2794097572676,4272.276846205553,3.3553333333333337,1287.2762029571768,429.09206765239225,190.2147136790422,221.41184390646274,115.28768669234242,140.47701581889666,0.956127119230994,0.8206871851618174,3,1.4065818248143778,2944.387557794448,3857.3601852427328,0.7633167286422764,0.4079984038280142,0.7518283274081216,0.8532703999647084,0.4769123668696243,0.2829370838946958,4.395728807491903,0.5920015961719858,0.24817167259187836
1-10-5,9023.313743,15549.248102000001,9.5366,1142.870435478561,3633.032731661615,3.178866666666667,3634.808521748938,726.9617043497876,229.44378929150483,322.04486066097917,150.70655689539313,193.60600939520282,0.8892485650478659,0.7784187968450907,5,0.5803054709661098,5390.281011338386,14406.377666521441,0.37415935748128426,0.5973726687182959,0.9264999549829319,0.6870526171433619,0.6308024766521505,0.04268309980060639,8.496023427198867,0.40262733128170414,0.07350004501706811
1-10-6,10367.174272,17198.838095,9.7835,1202.813690740771,3922.5759144541107,3.2611666666666665,3758.2309081376948,751.6461816275389,263.2212109614269,324.22445548010836,141.94743172079632,180.8206396768292,0.9806618233602884,0.7850178606518106,5,0.6027834098289417,6444.5983575458895,15996.024404259228,0.4028875047121021,0.6216349979715947,0.9300642471254816,0.7388074426834141,0.6774055176449981,0.04335642079152929,8.094484511246016,0.37836500202840523,0.06993575287451831
1-10-7,13251.160968,16171.150198,12.011,1812.8764108407559,7258.152856869438,4.003666666666667,3367.971231979089,673.5942463958179,228.84133894712102,294.34406865069803,147.2642855491928,185.5415158330669,0.9184149884908088,0.7936999160968782,5,0.8194321866875534,5993.008111130562,14358.273787159244,0.41739057215151953,0.4522628715780431,0.8878944052436686,0.7525984330642489,0.6785064628210489,0.051772564300652385,9.592134882273458,0.5477371284219569,0.11210559475633138
1-10-8,8330.752165,12132.046387999999,9.5609,1148.7021016647884,3660.875307935626,3.1869666666666667,2494.746983888903,498.94939677778063,232.39338124061203,290.7269049566742,143.3913382921802,182.99028393952813,0.983571289302909,0.7836008295367529,5,0.686673286481997,4669.876857064373,10983.34428633521,0.4251780455315729,0.5605588504581774,0.9053167070972471,0.7719061921299024,0.70069371609198,0.0483583325248942,7.4956049592876,0.43944114954182245,0.09468329290275283
1-10-9,13281.207072,17964.903232,11.745999999999999,1733.7635051691434,6788.262043905587,3.915333333333333,4084.0551203071723,680.6758533845288,253.4643335417782,334.51536541374315,137.80431019861322,179.16580306062397,0.955144372346432,0.7691440433640379,6,0.7392863129005247,6492.945028094412,16231.139726830857,0.4000301357372496,0.4888821469987553,0.9034916312779868,0.7113775070913905,0.632524792992038,0.05867443942499194,9.787595942284277,0.5111178530012447,0.09650836872201324
1-11-10,7896.389156,9347.070369,9.8503,1219.2949613129672,4003.473719140374,3.283433333333334,1909.982884073189,272.8546977247413,225.18200382011983,258.17681899203757,110.63309254733593,134.56015806672877,0.9673760526789154,0.8221831345685002,7,0.8447982998168868,3892.915436859626,8127.7754076870315,0.4789644449547426,0.4929994406242794,0.86955324896699,0.8054671091377084,0.6772707982154709,0.0864591849216828,6.855275726455198,0.5070005593757205,0.13044675103300993
