neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
H17-06-004-11-05-06_605851449_m,87034,11133.6,1595.26,2.0,74.2441,1.04677,369.537,4.0,37.0,78.0,512.891,578.901,176.14,0.449981,572.863,803.718,10.0,0.852455,6609.0,0.523074,67.4445,7876.9
H17-06-005-12-10-03_605871360_m,87035,8364.21,1140.93,1.87072,76.5697,1.02152,725.447,5.0,39.0,83.0,493.691,605.98,98.88,0.441511,462.662,584.558,14.0,0.926065,4614.0,0.608669,69.7169,6032.63
H17-06-005-12-10-04_603514449_m,87036,5565.61,942.332,1.83044,85.7224,1.01906,665.81,3.0,15.0,33.0,928.884,588.592,243.06,0.478002,925.81,1120.03,6.0,0.927168,2966.0,0.513333,48.2302,3571.68
H17-06-005-12-10-07_605485535_m,87037,12392.4,3276.89,2.0,90.6684,1.03714,359.603,5.0,49.0,103.0,404.705,395.208,95.42,0.612027,339.278,771.201,17.0,0.868226,5052.0,0.510119,90.8897,6308.1
H17-06-005-12-12-03_603514493_m,87038,9819.06,1028.8,1.98871,93.4801,1.03017,353.974,4.0,61.0,126.0,494.382,624.7,147.51,0.322852,432.426,1025.66,17.0,0.878726,8144.0,0.509689,86.2134,9673.97
H17-06-005-12-15-01_605485782_m,102403,29832.5,2650.34,2.01255,88.404,1.02919,475.183,7.0,193.0,393.0,807.692,914.039,190.85,0.276408,716.795,1478.07,26.0,0.894317,29538.0,0.507338,83.7322,34251.3
H17-06-005-12-15-03_712844902_m,102589,29753.9,4970.96,1.9485,83.6035,1.03207,530.456,5.0,87.0,179.0,994.1,1234.35,102.53,0.430916,1194.1,1379.75,13.0,0.882453,19238.0,0.456802,75.1312,21944.9
689370040_transformed,162144,22192.4,3459.6,1.90276,69.5272,1.03943,931.306,6.0,71.0,148.0,554.878,839.521,452.55,0.424282,922.136,1186.21,12.0,0.853408,11380.0,0.438454,73.4991,16381.1
695494556_transformed,162124,21046.7,1895.78,1.95914,85.4559,1.03657,424.792,7.0,71.0,149.0,1219.75,1906.55,884.59,0.275643,2054.02,2663.55,18.0,0.83325,18120.0,0.588813,80.4861,24130.2
695521538_transformed,162140,21209.2,2698.37,1.981,81.9489,1.04036,862.958,3.0,87.0,177.0,513.0,2306.22,686.91,0.336587,2236.97,2604.94,27.0,0.855232,13998.0,0.598751,83.7739,19651.4
695546566_transformed,162129,23184.5,3227.71,1.96878,79.7885,1.04398,410.689,4.0,83.0,170.0,905.259,1011.92,441.38,0.376256,837.333,1138.16,17.0,0.841944,13473.0,0.538641,78.9964,19495.4
695557339_transformed,162166,9383.04,1694.57,1.72741,80.6743,1.0327,447.38,7.0,20.0,47.0,320.601,422.129,243.08,0.631194,434.419,530.619,9.0,0.863997,3047.0,0.507143,71.6899,4672.05
701072592_transformed,162137,18784.4,2505.8,1.90267,91.2235,1.03801,552.257,6.0,68.0,142.0,898.861,1294.17,0.0,0.409902,1380.67,1514.42,11.0,0.880716,13203.0,0.530667,76.5435,14552.8
712887031_transformed,162175,18928.9,2955.35,1.84399,73.4818,1.02507,579.317,9.0,65.0,139.0,351.561,660.11,226.7,0.517035,612.628,798.532,12.0,0.906763,8363.0,0.435133,50.592,11493.1
716918890_transformed,162168,11495.4,2463.95,1.67054,73.7674,1.06243,655.58,7.0,25.0,57.0,248.359,347.158,259.83,0.694357,395.872,542.77,8.0,0.791051,3002.0,0.503179,71.2665,5332.75
716929071_transformed,162202,14534.1,3763.15,1.72462,62.7045,1.083,538.412,8.0,28.0,64.0,243.021,323.84,253.72,0.74437,309.038,499.431,7.0,0.725819,3738.0,0.4509,69.1886,6008.44
720828444_transformed,162183,15757.0,1753.9,1.95855,74.1971,1.03954,322.156,5.0,83.0,171.0,321.536,1129.43,306.47,0.31517,1033.55,1372.18,14.0,0.849095,11792.0,0.411192,82.7578,15910.2
