neuron_name,neuron_volume,neuron_area,soma_radius,soma_area,soma_volume,soma_va_ratio,neurite_length,avg_stem_length,max_euc_distance,max_path_distance,avg_euc_distance,avg_path_distance,max_contraction,avg_contraction,number_stems,neuron_va_ratio,neurite_volume,neurite_area,neurite_va_ratio,neurite_fraction_V,neurite_fraction_A,neurite_radius_V,neurite_radius_A,neurite_irregularity,soma_neurite_va_ratio,soma_fraction_V,soma_fraction_A
1-Human-hcca1-idab1-porta-4-cel16soma-z-corr-1-7,14032.441293,23960.470669,11.3949,1631.6646343183802,6197.551780531501,3.7983,6826.00970631914,620.5463369381035,286.8515497992337,323.19295297744037,160.6909053056121,189.4592078761864,0.9893868266643416,0.8481556906467449,11,0.585649651329894,7834.889512468499,22328.80603468162,0.3508870783462029,0.5583411573848441,0.931901812077948,0.6044467560132275,0.5206174627132258,0.07451067406169443,10.824850028396899,0.44165884261515587,0.06809818792205213
10-Human-hcca1-idab1-porta5-sec1-cel7-soma-z-corr-1-7,20783.393242,35985.406641,10.5324,1394.005710472325,4894.07524832624,3.5108000000000006,8517.28159471802,851.7281594718021,761.1462399492551,810.6807729878584,208.57290939585883,258.82384487600814,0.9388976096521467,0.805848895011113,10,0.5775506012573559,15889.317993673758,34591.40093052768,0.45934300335465983,0.7645199130218988,0.9612619158544102,0.770596778362095,0.6463790571373418,0.08766396582971407,7.643090183936694,0.23548008697810122,0.03873808414558983
11-human-hcca1-idab-1-porta5-sec1-cel8-soma-z-corr-1-7,17863.846218000002,37115.184868000004,11.8108,1752.9458266270276,6901.2308563755005,3.9369333333333336,12167.296604134153,2433.459320826831,467.05241527168135,511.5404030614038,284.387120931161,326.3754722305605,0.9435920763130278,0.8713495502206801,5,0.48130829151283216,10962.615361624503,35362.23904137297,0.31000908479801026,0.6136760934819474,0.9527701173290292,0.5355316026658021,0.4625575693058581,0.07311374114578215,12.699412779785098,0.3863239065180526,0.04722988267097071
12-human-hcca1-idab1-porta5-sec1-cel9-soma-corr1-7z,21936.172796000003,29012.088792000002,12.7444,2041.026539354415,8670.552876049469,4.2481333333333335,6203.605209872712,886.2293156961018,430.8633039865686,463.9374404023157,169.22951982660783,210.25883319058238,0.9756049912608744,0.8048628314854915,7,0.7561045656956915,13265.619919950534,26971.062252645588,0.49184640173559757,0.6047372093262084,0.9296491006219028,0.8250243423683667,0.6919489124028013,0.08772430861718755,8.637113778494221,0.3952627906737915,0.07035089937809724
13-human-hcca1-idab1-porta6-sec1-cel3soma-z-corr-1-7,18823.32631,41017.703699,9.84261,1217.3919292744013,3994.1046589985053,3.2808699999999997,11236.614626424367,1605.230660917767,638.6711271069015,681.9268542802641,228.39751235999933,273.11341267390833,0.9884067542017776,0.836273510421479,7,0.45890736468650506,14829.221651001495,39800.311769725595,0.37259059016420704,0.7878109005167373,0.9703203295287327,0.6481365285871961,0.5637299636363929,0.06965005261918747,8.805563228405914,0.21218909948326264,0.029679670471267287
14-human-hcca1-idab1-porta6-sec1-cel5-soma-corr1-7z,17222.85596,40899.469831,9.70824,1184.379474072389,3832.7467284561762,3.2360799999999994,11861.038551090956,1317.8931723434391,732.3095704610782,796.9895790614881,228.2009992310436,272.032834265874,0.9706268336981706,0.8388729979852695,9,0.4211021813037252,13390.109231543825,39715.09035692761,0.3371541928069201,0.7774616046631458,0.9710416912745728,0.5994538652335589,0.5329088948172178,0.05876647728450302,9.598219654510489,0.22253839533685424,0.02895830872542708
15-human-hcca1-idab1-porta6-sec1-cel7-soma-corr1-7z,15838.068062,27654.884417,9.36022,1100.9864569247118,3435.158484611942,3.120073333333333,7385.3601667546145,1846.3400416886532,391.5592279591939,432.8670334885348,213.09422208880005,275.0429861950223,0.9099431505968182,0.7747669738347853,4,0.5727041857482517,12402.909577388058,26553.89796007529,0.4670843277335879,0.7831074805863565,0.9601883544214738,0.7311407881485723,0.572238052482268,0.12191600071502984,6.679893004487484,0.21689251941364351,0.03981164557852622
16-human-hcca1-idab1-porta6-sec1-cel8-soma-z-corr-1-7,14494.271566,22153.217184999998,10.6349,1421.2703144846207,5038.355889170832,3.5449666666666664,5516.346190421791,501.48601731107186,344.47458983856046,416.27484700477186,174.04558603421847,211.8086774372766,0.9583367541661992,0.8217113110758126,11,0.6542738892035108,9455.915676829169,20731.946870515378,0.4561036035779742,0.6523898516577007,0.9358436157323927,0.7386710904876793,0.5981480694758171,0.10511744985439868,7.772283838271909,0.34761014834229936,0.06415638426760727
17-human-hcca1-idab1-porta6-sec1-cel9-soma-z-corr-1-7,14876.917938999999,30376.031397000002,9.72454,1188.35992617581,3852.084545497903,3.2415133333333332,8910.49984194024,1485.08330699004,569.8819864771225,607.3674636692532,240.9004327162576,283.07089320648447,0.9383411991031892,0.8510250912323014,6,0.489758446209312,11024.833393502096,29187.671470824193,0.3777222655298984,0.7410697187890227,0.9608783678603527,0.6275669266724783,0.5213357582993284,0.09246315615996378,8.58173750701692,0.25893028121097733,0.039121632139647276
18-human-hcca-idab1-porta6-sec1-cel11soma-z-corr-1-7,14740.389191999999,31635.187989,10.158,1296.660499453309,4390.4924511489035,3.3859999999999992,10260.542483991325,1140.0602759990359,425.88267004474886,455.6985047660368,218.7557645756295,259.409320174376,0.9605610971516456,0.8432841365475265,9,0.4659491575370262,10349.896740851094,30338.52748954669,0.3411469704459852,0.702145418688691,0.9590120817393538,0.5666408896618094,0.4705917473295644,0.09260134988699144,9.925340962499078,0.297854581311309,0.040987918260646225
